"Post text","Comments","Reposts","Likes","Bookmarks","Views","Date and time","Handle @...","URL"
"Been part of 7 startup projects so far. Still no overnight win. 2019 Grew an Instagram account to 2k followers. 2021–today Grew a YouTube channel to 10k+ subscribers. 2024–2025 • Worked at a startup: $5k MRR • CleverDash: $0 MRR 2025–2026 Joined a scaleup as CTO/co-founder.","51","2","101","3","3118","2026-06-30T21:33:01.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072070929799090536"
"The fastest way to kill an AI product: build something impressive instead of something painful enough to need.","34","2","65","2","2682","2026-06-30T19:02:10.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072032966692274343"
"I haven't seen a C++ vibecoder yet. I wonder why?","74","5","69","2","8031","2026-06-30T16:32:10.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071995219571003861"
"I am fixing bugs on","3","0","10","0","920","2026-06-30T14:16:57.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071961189454614918"
"Hey founders, what are you building today? Let’s connect","352","9","207","29","16481","2026-06-30T14:14:12.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071960499193794978"
"Are you team Claude code or Codex right now ?","203","5","103","2","10923","2026-06-30T12:45:49.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071938255533027637"
"If your startup was doing $1k MRR... would you sell it for $17k?","99","1","80","3","7410","2026-06-30T09:34:43.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071890163802821031"
"Vibe coding or AI coding?","102","1","81","2","6212","2026-06-30T06:03:43.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071837063276560389"
"8.1k followers in 90 days adding ~100+ new followers a day for 60 days straight","92","2","136","7","4065","2026-06-30T01:08:45.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071762831066706402"
"What part of building with AI still feels harder than people admit?","56","0","45","2","3266","2026-06-29T21:35:43.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071709220538286432"
"What do you do when you run out of post ideas?","131","2","110","3","5034","2026-06-29T19:35:43.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071679020995871127"
"hot take: founders who say AI replaced their team usually just replaced the part that looked busy","28","0","45","1","2198","2026-06-29T16:45:43.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071636241058001352"
"What AI tool are you actually using every day?","151","2","106","2","7483","2026-06-29T14:35:43.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071603525914661067"
"everyone can build with AI now. the harder question is: who still knows what’s worth building?","122","3","103","4","5962","2026-06-29T12:01:42.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071564765332144174"
"8k followers in 90 days 0 → 1k in 33 days 1k → 2k in 7 days 2k → 3k in 8 days 3k → 4k in 9 days 4k → 5k in 9 days 5k → 6k in 9 days 6k → 7k in 6 days 7k → 8k in 9 days","177","3","238","13","7595","2026-06-29T09:30:45.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071526779206943133"
"I used to think truely passive income was the goal. Now I think it mostly means someone is hiding the work. Prove me wrong.","55","1","90","1","4213","2026-06-29T06:11:43.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071476689406722109"
"What is your favorite programming language these days?","110","4","80","1","5883","2026-06-29T01:14:43.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071401946854871113"
"What Has Changed, so many comments are randomly getting removed these days? Seems like some new anti-spam filter is kicking in. Or am I missing something?","29","0","39","0","2354","2026-06-28T21:31:45.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071345835749601562"
"Do you believe in luck, or in failing until you win? Which one has shaped your life more?","58","1","65","2","2488","2026-06-28T19:00:46.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071307839658758530"
"The best AI startup strategy in 2026: 1. Build a tool that solves a marketing problem. 2. Use it to market itself. 3. Prove it works by growing with it. 4. Become your own best case study. Nothing sells an AI product better than using it successfully yourself.","31","1","57","11","2219","2026-06-28T16:08:43.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071264539992023471"
"Would you choose PostgreSQL or MongoDB for your next startup?","105","1","66","1","7469","2026-06-28T14:00:43.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071232329201180759"
"If you’re building in public, let’s connect! Trying to hit 8k today!","161","4","261","8","9238","2026-06-28T12:03:03.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071202716362129706"
"What's your long-term goal? Mine: Help people win on X and succeed in their own startups!","91","0","138","4","5844","2026-06-28T09:59:11.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071171545699889341"
"I lost 227 followers over the last week! crazy :D Why do people unfollow?","217","2","188","3","10266","2026-06-28T06:00:13.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071111406330548322"
"be honest are you actually coding..... or just fighting with AI until it ""just works""?","86","1","103","6","5415","2026-06-28T01:12:25.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071038977809723650"
"X is not a Quick Win platform! You only win by butting in the work everyday for weeks Show up like a system, or stay invisible.","32","0","51","1","1815","2026-06-27T21:58:49.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070990259022635272"
"if your growth dies when you stop posting, you built reach - not trust","41","2","84","0","3002","2026-06-27T20:15:49.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070964337280245795"
"Before 500 followers: - post less - reply more Be active and proactive, but not spammy!","103","0","160","9","4558","2026-06-27T19:03:49.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070946219413639211"
"the next wave of solo founders won’t win by coding more. they’ll win by noticing what everyone else is automating into sameness.","32","1","54","2","2284","2026-06-27T16:45:49.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070911488894595387"
"Mine btw","0","0","10","1","689","2026-06-27T14:33:27.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070878177673589117"
"7.8K followers on day 88 10K by day 100 seems far away but we keep fighting!!","110","6","148","3","5509","2026-06-27T14:03:51.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070870729055183169"
"Hey founders! Looking to connect with people building in: - SaaS - Tech - AI tools - Product Development - Devs Drop your link and let's connect!","197","5","129","15","6957","2026-06-27T12:01:51.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070840027618197735"
"What is your main goal on X?","136","3","98","0","5483","2026-06-27T09:30:49.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070802018633957659"
"Getting a lot of DMs about shadow bans lately. Is the algorithm actually changing, or are people just calling normal reach drops a shadow ban?","103","1","121","8","6927","2026-06-27T06:30:49.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070756718837965181"
"anyone still using Cursor?","230","6","162","8","19849","2026-06-27T01:01:49.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070673923167944890"
"Ship ugly posts Publish rough drafts. Miss the point sometimes. Learn faster. doing nothing is the real mistake!!","73","7","148","4","4526","2026-06-26T21:59:49.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070628123104657871"
